a	an
arraign	arraigned,arraigning,arraigns
arraignment	arraignments
arrange	arranged,arranges,arranging
arrangement	arrangements
arranger	arrangers
arras	arrases
array	arrayed,arraying,arrays
arrest	arrested,arresting,arrests
arrival	arrivals
arrive	arrived,arrives,arriving
arriviste	arrivistes
arrogant	arrogantly
arrogate	arrogated,arrogates,arrogating
arrow	arrows
arrowhead	arrowheads
arroyo	arroyos
arse	arsed,arses,arsing
arsenal	arsenals
arsonist	arsonists
art	artful,artfully,artfulness,artless,artlessly,artlessness,arts
arteriole	arterioles
artery	arteries
arthritic	arthritics
arthropod	arthropods
arthroscope	arthroscopes
artichoke	artichokes
article	articled,articles
articulate	articulated,articulately,articulateness,articulates,articulating
articulation	articulations
artifact	artefact,artefacts,artifacts
artifice	artifices
artificer	artificers
artificial	artificially
artilleryman	artillerymen
artisan	artisans
artist	artists
artiste	artistes
artistic	artistically
artsy	artsier,artsiest
artwork	artworks
arty	artier,artiest,artiness
arum	arums
ascend	ascended,ascending,ascends
ascendance	ascendancy,ascendence,ascendency
ascendant	ascendants,ascendent,ascendents
ascension	ascensions
ascent	ascents
ascertain	ascertained,ascertaining,ascertains
ascetic	ascetically,ascetics
ascot	ascots
ascribe	ascribed,ascribes,ascribing
aseptic	aseptically
asexual	asexually
ash	ashes
ashamed	ashamedly
ashcan	ashcans
ashlar	ashlars
ashram	ashrams
ashtray	ashtrays
ashy	ashier,ashiest
aside	asides
asinine	asininely
asininity	asininities
ask	asked,asking,asks
asp	asps
aspect	aspects
aspen	aspens
asperity	asperities
aspersion	aspersions
asphalt	asphalted,asphalting,asphalts
asphodel	asphodels
asphyxiate	asphyxiated,asphyxiates,asphyxiating
asphyxiation	asphyxiations
aspic	aspics
aspidistra	aspidistras
aspirant	aspirants
aspirate	aspirated,aspirates,aspirating
aspiration	aspirations
aspirator	aspirators
aspire	aspired,aspires,aspiring
aspirin	aspirins
ass	arse,arses,asses
assail	assailed,assailing,assails
assailant	assailants
assassin	assassins
assassinate	assassinated,assassinates,assassinating
assassination	assassinations
assault	assaulted,assaulting,assaults
assay	assayed,assaying,assays
assayer	assayers
assemblage	assemblages
assemble	assembled,assembles,assembling
assembler	assemblers
assembly	assemblies
assemblyman	assemblymen
assemblywoman	assemblywomen
assent	assented,assenting,assents
assert	asserted,asserting,asserts
assertion	assertions
assertive	assertively,assertiveness
assess	assessed,assesses,assessing
assessment	assessments
assessor	assessors
asset	assets
asseverate	asseverated,asseverates,asseverating
asshole	arsehole,arseholes,assholes
assiduous	assiduously,assiduousness
assign	assigned,assigning,assigns
assignation	assignations
assigner	assigners
assignment	assignments
assignor	assignors
assimilate	assimilated,assimilates,assimilating
assist	assisted,assisting,assists
assistant	assistants
assize	assizes
associate	associated,associates,associating
association	associations
assonant	assonants
assort	assorted,assorting,assorts
assortment	assortments
assuage	assuaged,assuages,assuaging
assume	assumed,assumes,assuming
assumption	assumptions
assurance	assurances
assure	assured,assuredly,assures,assuring
assured	assureds
aster	asters
asterisk	asterisked,asterisking,asterisks
asteroid	asteroids
asthmatic	asthmatically,asthmatics
astigmatism	astigmatisms
astonish	astonished,astonishes,astonishing,astonishingly
astound	astounded,astounding,astoundingly,astounds
astringent	astringently,astringents
astrolabe	astrolabes
astrologer	astrologers
astrological	astrologically
astrologist	astrologists
astronaut	astronauts
astronautic	astronautics
astronomer	astronomers
astronomical	astronomically
astrophysicist	astrophysicists
astute	astutely,astuteness,astuter,astutest
asylum	asylums
asymmetrical	asymmetrically
asymmetry	asymmetries
atavist	atavists
ataxic	ataxics
atelier	ateliers
atheist	atheists
athlete	athletes
athletic	athletically,athletics
atlas	atlases
atmosphere	atmospheres
atmospheric	atmospherically,atmospherics
atoll	atolls
atom	atoms
atomic	atomically
atomize	atomise,atomised,atomises,atomising,atomized,atomizes,atomizing
atomizer	atomiser,atomisers,atomizers
atonal	atonally
atone	atoned,atones,atoning
atrium	atria,atriums
atrocious	atrociously,atrociousness
atrocity	atrocities
atrophy	atrophied,atrophies,atrophying
attach	attached,attaches,attaching
attache	attaches
attachment	attachments
attack	attacked,attacking,attacks
attacker	attackers
attain	attained,attaining,attains
attainable	attainability
attainment	attainments
attempt	attempted,attempting,attempts
attend	attended,attending,attends
attendance	attendances
attendant	attendants
attendee	attendees
attender	attenders
attention	attentions
attentive	attentively,attentiveness
attenuate	attenuated,attenuates,attenuating
attest	attested,attesting,attests
attestation	attestations
attic	attics
attire	attired,attires,attiring
attitude	attitudes
attitudinize	attitudinise,attitudinised,attitudinises,attitudinising,attitudinized,attitudinizes,attitudinizing
attorney	attorneys
attorney-general	attorney-generals,attorneys-general
attract	attracted,attracting,attracts
attractant	attractants
attraction	attractions
attractive	attractively,attractiveness
attribute	attributed,attributes,attributing
attribution	attributions
attributive	attributively,attributives
attune	attuned,attunes,attuning
atypical	atypically
aubergine	aubergines
auction	auctioned,auctioning,auctions
auctioneer	auctioneers
audacious	audaciously,audaciousness
audible	audibility,audibles,audibly
audience	audiences
audio	audios
audiobook	audiobooks
audiologist	audiologists
audiometer	audiometers
audiophile	audiophiles
audiotape	audiotapes
audiotypist	audiotypists
audiovisual	audiovisuals
audit	audited,auditing,audits
audition	auditioned,auditioning,auditions
auditor	auditors
auditorium	auditoria,auditoriums
auger	augers
aught	aughts,ought
augment	augmented,augmenting,augments
augmentation	augmentations
augmenter	augmenters
augur	augured,auguring,augurs
augury	auguries
august	auguster,augustest,augustly,augustness
auk	auks
aunt	aunts
auntie	aunties,aunty
aura	aurae,auras
aural	aurally
aureole	aureola,aureolas,aureoles
auricle	auricles
aurora	aurorae,auroras
auscultate	auscultated,auscultates,auscultating
auscultation	auscultations
auspice	auspices
auspicious	auspiciously,auspiciousness
austere	austerely,austerer,austerest
austerity	austerities
auteur	auteurs
authentic	authentically
authenticate	authenticated,authenticates,authenticating
authentication	authentications
author	authored,authoring,authors
authoress	authoresses
authoritarian	authoritarians
authoritative	authoritatively,authoritativeness
authority	authorities
authorization	authorisation,authorisations,authorizations
authorize	authorise,authorised,authorises,authorising,authorized,authorizes,authorizing
auto	autos
autobahn	autobahns
autobiographer	autobiographers
autobiographical	autobiographically
autobiography	autobiographies
autoclave	autoclaves
autocracy	autocracies
autocrat	autocrats
autocratic	autocratically
autodidact	autodidacts
autofocus	autofocuses
autograph	autographed,autographing,autographs
automaker	automakers
automate	automated,automates,automating
automatic	automatically,automatics
automatize	automatise,automatised,automatises,automatising,automatized,automatizes,automatizing
automaton	automata,automatons
automobile	automobiles
autonomous	autonomously
autopilot	autopilots
autopsy	autopsied,autopsies,autopsying
autoworker	autoworkers
autumn	autumns
auxiliary	auxiliaries
avail	availed,availing,avails
available	availability
avalanche	avalanches
avaricious	avariciously
avatar	avatars
avenge	avenged,avenges,avenging
avenger	avengers
avenue	avenues
aver	averred,averring,avers
average	averaged,averagely,averages,averaging
aversion	aversions
avert	averted,averting,averts
aviary	aviaries
aviator	aviators
aviatrix	aviatrices,aviatrixes
avid	avidly
avionic	avionics
avocado	avocadoes,avocados
avocation	avocations
avoid	avoided,avoiding,avoids
avoidable	avoidably
avouch	avouched,avouches,avouching
avow	avowed,avowedly,avowing,avows
avowal	avowals
avuncular	avuncularly
await	awaited,awaiting,awaits
awake	awaked,awakes,awaking,awoke,awoken
awaken	awakened,awakening,awakens
awakening	awakenings
award	awarded,awarding,awards
aware	awareness
awe	awed,awes,awing
awesome	awesomely,awesomeness
awful	awfuller,awfullest,awfully,awfulness
awkward	awkwarder,awkwardest,awkwardly,awkwardness
awl	awls
awn	awns
awning	awnings
ax	axe,axed,axes,axing
axial	axially
axiom	axioms
axiomatic	axiomatically
axis	axes
axle	axles
axletree	axletrees
axolotl	axolotls
axon	axons
ayah	ayahs
ayatollah	ayatollahs
aye	ay,ayes
azalea	azaleas
azimuth	azimuths
baa	baaed,baaing,baas
baba	babas
babble	babbled,babbles,babbling
babbler	babblers
babe	babes
babel	babels
baboon	baboons
babushka	babushkas
baby	babied,babier,babies,babiest,babying,babyish
babysit	babysat,babysits,babysitting
babysitter	babysitters
baccalaureate	baccalaureates
bacchanal	bacchanals
bacchanalia	bacchanalias
bacchanalian	bacchanalians
bachelor	bachelors
bachelorette	bachelorettes
bacillus	bacilli
back	backed,backing,backless,backs
backache	backaches
backbeat	backbeats
backbench	backbenches
backbencher	backbenchers
backbite	backbit,backbites,backbiting,backbitten
backbiter	backbiters
backboard	backboards
backbone	backbones
backcloth	backcloths
backcomb	backcombed,backcombing,backcombs
backdate	backdated,backdates,backdating
backdrop	backdrops
backer	backers
backfield	backfields
backfire	backfired,backfires,backfiring
backflip	backflips
background	backgrounds
backgrounder	backgrounders
backhand	backhanded,backhanding,backhands
backhanded	backhandedly
backhander	backhanders
backhoe	backhoes
backing	backings
backlash	backlashes
backlist	backlists
backlog	backlogged,backlogging,backlogs
backpack	backpacked,backpacking,backpacks
backpacker	backpackers
backpedal	backpedaled,backpedaling,backpedalled,backpedalling,backpedals
backrest	backrests
backroom	backrooms
backseat	backseats
backside	backsides
backslapper	backslappers
backslash	backslashes
backslide	backslid,backslidden,backslides,backsliding
backslider	backsliders
backspace	backspaced,backspaces,backspacing
backstabber	backstabbers
backstair	backstairs
backstop	backstopped,backstopping,backstops
backstory	backstories
backstreet	backstreets
backstretch	backstretches
backstroke	backstroked,backstrokes,backstroking
backswing	backswings
backtrack	backtracked,backtracking,backtracks
backup	backups
backward	backwardly,backwardness,backwards
backwater	backwaters
backwoodsman	backwoodsmen
backyard	backyards
bacteria	bacterium
bactericide	bactericides
bacteriologist	bacteriologists
bad	badder,baddest,badly,badness,worse,worst
badass	badasses
baddie	baddies,baddy
badge	badges
badger	badgered,badgering,badgers
badman	badmen
badmouth	badmouthed,badmouthing,badmouths
baffle	baffled,baffles,baffling
baffler	bafflers
bag	bagful,bagfuls,bagged,bagging,bags,bagsful
bagatelle	bagatelles
bagel	bagels
baggie	baggies
baggy	baggier,baggiest,baggily,bagginess
bagpipe	bagpipes
bagpiper	bagpipers
baguette	baguettes
baht	bahts
bail	bailed,bailing,bails
bailey	baileys
bailiff	bailiffs
bailiwick	bailiwicks
bailout	bailouts
bailsman	bailsmen
bairn	bairns
bait	baited,baiting,baits
bake	baked,bakes,baking
baker	bakers
bakery	bakeries
bakeshop	bakeshops
bakkie	bakkies
balaclava	balaclavas
balalaika	balalaikas
balance	balanced,balances,balancing
balboa	balboas
balcony	balconies
bald	balded,balder,baldest,balding,baldly,baldness,balds
baldric	baldrics
baldy	baldies
bale	baled,bales,baling
baleful	balefully,balefulness
baler	balers
balk	balked,balking,balks,baulk,baulked,baulking,baulks
balky	balkier,balkiest,baulkier,baulkiest,baulky
ball	balled,balling,balls
ballad	ballads
balladeer	balladeers
ballast	ballasted,ballasting,ballasts
ballboy	ballboys
ballcock	ballcocks
ballerina	ballerinas
ballet	ballets
ballgame	ballgames
ballgirl	ballgirls
ballgown	ballgowns
ballistic	ballistics
balloon	ballooned,ballooning,balloons
balloonist	balloonists
ballot	balloted,balloting,ballots
ballpark	ballparks
ballplayer	ballplayers
ballpoint	ballpoints
ballroom	ballrooms
balls	ballsed,ballses,ballsing
ballsy	ballsier,ballsiest
ballyhoo	ballyhooed,ballyhooing,ballyhoos
balm	balms
balmy	balmier,balmiest,balminess
baloney	boloney
balsa	balsas
balsam	balsams
balti	baltis
baluster	balusters
balustrade	balustrades
bamboo	bamboos
bamboozle	bamboozled,bamboozles,bamboozling
ban	bani,banned,banning,bans
banal	banally
banality	banalities
banana	bananas
band	banded,banding,bands
bandage	bandaged,bandages,bandaging
band-aid	band-aids
bandanna	bandana,bandanas,bandannas
bandbox	bandboxes
bandeau	bandeaux
bandit	bandits,banditti
bandleader	bandleaders
bandmaster	bandmasters
bandolier	bandoleer,bandoleers,bandoliers
bandsman	bandsmen
bandstand	bandstands
bandwagon	bandwagons
bandwidth	bandwidths
bandy	bandied,bandier,bandies,bandiest,bandying
bane	banes
bang	banged,banging,bangs
banger	bangers
bangle	bangles
banish	banished,banishes,banishing
banister	banisters,bannister,bannisters
banjo	banjoes,banjos
banjoist	banjoists
bank	banked,banking,banks
bankbook	bankbooks
bankcard	bankcards
banker	bankers
banknote	banknotes
bankroll	bankrolled,bankrolling,bankrolls
bankrupt	bankrupted,bankrupting,bankrupts
bankruptcy	bankruptcies
banner	banners
bannock	bannocks
banquet	banqueted,banqueting,banquets
banqueter	banqueters
banquette	banquettes
banshee	banshees,banshie,banshies
bantam	bantams
bantamweight	bantamweights
banter	bantered,bantering,banteringly,banters
banyan	banyans
banzai	banzais
baobab	baobabs
bap	baps
baptism	baptisms
baptistery	baptisteries,baptistries,baptistry
baptize	baptise,baptised,baptises,baptising,baptized,baptizes,baptizing
baptizer	baptiser,baptisers,baptizers
bar	barred,barring,bars
barb	barbed,barbing,barbs
barbarian	barbarians
barbarianism	barbarianisms
barbaric	barbarically
barbarism	barbarisms
barbarity	barbarities
barbarize	barbarise,barbarised,barbarises,barbarising,barbarized,barbarizes,barbarizing
barbarous	barbarously
barbecue	barbecued,barbecues,barbecuing,barbeque,barbequed,barbeques,barbequing
barbel	barbels
barbell	barbells
barber	barbered,barbering,barbers
barberry	barberries
barbershop	barbershops
barbie	barbies
barbiturate	barbiturates
barcarole	barcaroles,barcarolle,barcarolles
barcode	barcodes
bard	bards
bare	bared,bareness,barer,bares,barest,baring
